edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ENHA_TCF4;MRPL10	4.00873232442162	5.675961694905609e-13	False	((1.1, 0.7357615894039735), array([0.31972596, 0.93376821]))	False
ENHA_TCF4;RNF6	4.32463426710087	9.23191530660624e-21	False	((1.1, 0.7357615894039735), array([0.9839834 , 0.07738572]))	False
CHAF1A;ENHA_TCF4	4.16409365823148	2.17045163287882e-19	False	(array([0.92064941, 0.34013239]), (1.1, 0.7357615894039735))	False
ENHA_TCF4;NOL9	4.00873232442162	5.675961694905609e-13	False	((1.1, 0.7357615894039735), array([-0.77020866, -0.40025362]))	False
ENHA_TCF4;EXOSC1	4.00873232442162	5.675961694905609e-13	False	((1.1, 0.7357615894039735), array([0.80533636, 0.32050222]))	False
ENHA_TCF4;PTGER3	4.00873232442162	5.675961694905609e-13	False	((1.1, 0.7357615894039735), array([0.75641376, 0.70255041]))	False
C1orf109;ENHA_TCF4	4.25402091946328	2.50666725638271e-15	False	(array([-0.16062906,  0.97715616]), (1.1, 0.7357615894039735))	False
ENHA_TCF4;NR2C2AP	4.63742794650536	1.97721531537739e-32	False	((1.1, 0.7357615894039735), array([-0.60314608, -0.7946167 ]))	False
CHCHD2;ENHA_TCF4	4.00873232442162	5.675961694905609e-13	False	(array([-0.95404714,  0.02774242]), (1.1, 0.7357615894039735))	False
ENHA_TCF7L2;MAD2L2	5.79910671667356	7.49947429558663e-33	False	((1.1666666666666667, 0.7649006622516556), array([-0.81661803,  0.65615284]))	False
ENHA_TCF4;MAD2L2	3.76122810496913	1.11223092718595e-22	False	((1.1, 0.7357615894039735), array([-0.81661803,  0.65615284]))	False
ENHA_YY1;NR1H2	3.96721549202654	2.3706713808819398e-11	False	((1.1, 0.9543046357615896), array([ 0.51440722, -0.89169657]))	False
ENHA_VDR;NR1H2	2.32145120245389	0.0001475070087508	False	((1.1333333333333335, 0.9251655629139073), array([ 0.51440722, -0.89169657]))	False
ACTL6A;ENHA_RELB	6.11061934914801	3.77696220295515e-33	False	(array([-0.84768802, -0.43739235]), (1.1, 0.3860927152317881))	False
ACTL6A;ENHA_YY1	4.73458430439584	8.823943076696229e-28	False	(array([-0.84768802, -0.43739235]), (1.1, 0.9543046357615896))	False
ACTL6A;ENHA_TCF4	3.91547329109608	6.2476952302366e-26	False	(array([-0.84768802, -0.43739235]), (1.1, 0.7357615894039735))	False
ENHA_TCF4;GLRX3	30.1308001487708	1.08811908108411e-64	False	((1.1, 0.7357615894039735), array([-0.80825239,  0.57324845]))	False
ENHA_TCF3;MAPKAPK3	4.50614700897297	4.71804964841252e-26	False	((1.1666666666666667, 0.7211920529801326), array([-0.27435195,  0.94855368]))	False
ENHA_PBX2;NUP62	11.0135624788343	7.486042496128001e-70	False	((1.1, 0.2549668874172186), array([0.2373476 , 0.93309158]))	False
ENHA_THAP1;NUP62	8.46226538973207	5.38570571610789e-60	False	((1.1666666666666667, 0.852317880794702), array([0.2373476 , 0.93309158]))	False
ENHA_SP1;NUP62	8.59707402354442	1.75114676719675e-52	False	((1.1666666666666667, 0.5463576158940397), array([0.2373476 , 0.93309158]))	False
ENHA_THAP1;PPIG	8.64180777434928	4.3611340148253004e-61	False	((1.1666666666666667, 0.852317880794702), array([0.63674915, 0.78490967]))	False
ENHA_SP1;PPIG	6.67790865300097	9.37498130023489e-49	False	((1.1666666666666667, 0.5463576158940397), array([0.63674915, 0.78490967]))	False
BCOR;ENHA_TCF3	36.0241929369246	2.29499073932356e-63	False	(array([-0.70023793,  0.46637627]), (1.1666666666666667, 0.7211920529801326))	False
BCOR;ENHA_SP1	15.5209557164473	1.6498099437898301e-52	False	(array([-0.70023793,  0.46637627]), (1.1666666666666667, 0.5463576158940397))	False
ENHA_TCF4;RUNX1T1	43.9918842631966	3.36042338195379e-59	False	((1.1, 0.7357615894039735), array([ 0.72493356, -0.62711614]))	False
ENHA_SP1;RUNX1T1	15.6753455903753	4.36798370507907e-51	False	((1.1666666666666667, 0.5463576158940397), array([ 0.72493356, -0.62711614]))	False
ENHA_JUN;NR2F6	3.20670626883882	8.03167748253463e-05	False	((1.1333333333333335, -0.4298013245033113), array([-0.38613579,  0.64248216]))	False
ENHA_FOS;NR2F6	3.83622133293267	4.45773928166529e-07	False	((1.1666666666666667, -0.7649006622516556), array([-0.38613579,  0.64248216]))	False
ENHA_NR2F2;NR2F6	3.28005975987355	8.60334670106642e-07	False	((1.1, 0.16754966887417222), array([-0.38613579,  0.64248216]))	False
