edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ENHA_KLF5;SET	10.369460380281	2.95217259401784e-68	False	((1.1666666666666667, -0.30368098159509205), array([-0.80918235,  0.4807173 ]))	False
ENHA_NR3C1;SET	13.0377335281375	2.37511646197332e-82	False	((1.1666666666666667, 0.10122699386503076), array([-0.80918235,  0.4807173 ]))	False
ENHA_FOS;SET	11.1638365579866	5.1318500128963405e-75	False	((1.1333333333333335, -0.6815950920245399), array([-0.80918235,  0.4807173 ]))	False
ENHA_ELF4;SET	6.79026880182087	2.39377950804851e-39	False	((1.1666666666666667, -0.7895705521472394), array([-0.80918235,  0.4807173 ]))	False
ENHA_TP53;PRKAB2	25.9674827608633	9.114736502734651e-105	False	((1.1, 0.8030674846625769), array([-0.6642431,  0.7967689]))	True
APPL1;ENHA_TP53	26.4164191643846	6.12856411377206e-106	False	(array([ 0.17578746, -0.91248059]), (1.1, 0.8030674846625769))	False
EED;ENHA_NR2C2	9.95054146344627	5.90626163746385e-66	False	(array([-0.73816109,  0.58335072]), (1.1, 0.07423312883435584))	False
EED;ENHA_TFAP2A	6.86178756382632	3.97421235453278e-48	False	(array([-0.73816109,  0.58335072]), (1.1333333333333335, 0.6950920245398775))	False
CDC5L;ENHA_RXRB	5.07702490376404	6.752689387488911e-19	False	(array([-0.90313762, -0.02444849]), (1.1333333333333335, 0.4116564417177915))	False
CDC5L;ENHA_THAP1	4.7074381018786	7.05791779342471e-18	False	(array([-0.90313762, -0.02444849]), (1.1, 0.7625766871165647))	False
BYSL;ENHA_THAP1	7.67146410467738	1.05368448298469e-52	False	(array([-0.41860262, -0.92546666]), (1.1, 0.7625766871165647))	False
ENHA_THAP1;U2AF2	4.37848218866987	4.17012729214881e-17	False	((1.1, 0.7625766871165647), array([-0.96598524,  0.04552794]))	False
ENHA_ZBTB7B;MORF4L2	6.9173322665708	6.311516627908569e-40	False	((1.1666666666666667, 0.9515337423312884), array([-0.33409008,  0.94696027]))	False
