edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ENHA_SP1;PROM_KLF10	7.24230427748616	4.22918463247109e-50	False	((1.1, 0.5914572864321608), (-1.1, -0.711764705882353))	False
CDK2;PROM_KLF10	3.95524634678673	8.14972049228192e-27	False	(array([0.90489489, 0.38001814]), (-1.1, -0.711764705882353))	False
KDM5B;PROM_KLF10	4.88137356769898	3.61711306442145e-35	False	(array([ 0.74654311, -0.34573078]), (-1.1, -0.711764705882353))	False
CDK6;PROM_KLF10	3.37810150294792	2.18150968602266e-21	False	(array([0.89681244, 0.51282406]), (-1.1, -0.711764705882353))	False
PROM_KLF10;SIAH1	4.39618519729896	5.5527512036369905e-31	False	((-1.1, -0.711764705882353), array([-0.72565687, -0.72168952]))	False
ENHA_HOXC4;HTT	6.52549282042306	8.65036836928434e-33	False	((1.1, -0.43668341708542724), array([ 0.9807207 , -0.06081399]))	False
BCOR;ENHA_TCF3	36.0241929369246	2.29499073932356e-63	False	(array([0.19862323, 0.94290751]), (1.1666666666666667, 0.7130653266331659))	False
BCOR;ENHA_BCL6	9.34886929063958	2.5285165631114902e-61	False	(array([0.19862323, 0.94290751]), (1.1333333333333335, -1.0226130653266332))	False
BCOR;ENHA_SP1	15.5209557164473	1.6498099437898301e-52	False	(array([0.19862323, 0.94290751]), (1.1, 0.5914572864321608))	False
DROSHA;ENHA_BCL6	9.50757153430753	4.5241036602907495e-62	False	(array([-0.09042507,  0.95190048]), (1.1333333333333335, -1.0226130653266332))	False
DROSHA;ENHA_SP1	5.59228869797161	4.4973319088072296e-33	False	(array([-0.09042507,  0.95190048]), (1.1, 0.5914572864321608))	False
DROSHA;ENHA_SMAD5	6.48957488949236	3.28300289203653e-31	False	(array([-0.09042507,  0.95190048]), (1.1333333333333335, 0.5361809045226131))	False
DROSHA;PROM_HIF1A	5.60974183534756	3.05482146462938e-05	False	(array([-0.09042507,  0.95190048]), (-1.1666666666666667, -0.7764705882352942))	False
ENHA_TFAP2A;MYC	2.72677078834217	1.51567409270051e-14	False	((1.1, 0.7904522613065328), array([-0.35877469, -0.17926458]))	False
ENHA_MAX;MYC	3.9598787346017	8.23992999486858e-27	False	((1.1333333333333335, -0.16030150753768846), array([-0.35877469, -0.17926458]))	False
ENHA_SP1;MYC	1.85352192924051	5.43805884758642e-06	False	((1.1, 0.5914572864321608), array([-0.35877469, -0.17926458]))	False
ENHA_FOXO3;MYC	3.81886917684926	2.56347826575584e-24	False	((1.1333333333333335, -0.6246231155778895), array([-0.35877469, -0.17926458]))	False
